Repo,PR_number,Commits,Additions,Deletions,Files_Changed,Comments,Formal_Review,Inline_Comments_Review,NumPathsInFile,AvgPathCharLength,MaxPathCharLength
OpenHFT/Chronicle-Threads,322,1,19,0,1,0,0.0,0,1,66.0,66
OpenHFT/Chronicle-Threads,323,1,6,0,1,0,0.0,0,1,63.0,63
OpenHFT/Chronicle-Threads,324,1,8,0,1,0,0.0,0,1,66.0,66
OpenHFT/Chronicle-Threads,325,1,9,0,1,0,0.0,0,1,79.0,79
plantuml/plantuml,2210,2,2,2,2,0,0.0,0,2,60.5,63
jdereg/json-io,414,1,14,15,2,0,0.0,0,2,38.0,64
jdereg/json-io,416,1,3,3,2,0,0.0,0,2,38.0,64
jdereg/java-util,153,1,4,4,1,0,0.0,0,1,55.0,55
apache/pinot,16030,1,1,1,1,1,0.0,0,1,100.0,100
jdereg/java-util,335,1,79,0,6,0,0.0,0,6,43.5,64
jdereg/java-util,336,1,52,0,2,0,0.0,0,2,40.0,68
jdereg/java-util,120,1,9,6,1,0,0.0,0,1,59.0,59
jdereg/java-util,123,1,2,2,1,0,0.0,0,1,61.0,61
jdereg/java-util,126,1,28,11,2,0,0.0,0,2,32.0,52
jdereg/java-util,129,1,2,2,1,0,0.0,0,1,12.0,12
DataDog/dd-trace-java,8984,1,10,1,2,2,0.0,0,2,90.0,94
jdereg/java-util,159,1,45,2,3,0,0.0,0,3,53.333333333333336,76
jdereg/java-util,161,1,4,5,1,0,0.0,0,1,55.0,55
jdereg/java-util,165,1,28,8,2,0,0.0,0,2,60.5,71
jdereg/java-util,170,1,9,2,1,0,0.0,0,1,54.0,54
jdereg/java-util,171,1,45,10,3,0,0.0,0,3,25.666666666666668,53
jdereg/java-util,172,1,39,25,4,0,0.0,0,4,40.5,71
jdereg/java-util,173,2,55,38,3,0,0.0,0,3,51.666666666666664,72
jdereg/java-util,134,1,212,1,5,0,0.0,0,5,54.2,57
jdereg/json-io,316,1,47,7,4,0,0.0,0,4,40.0,50
jdereg/java-util,174,1,58,11,1,0,0.0,0,1,56.0,56
jdereg/json-io,402,1,4,1,2,0,0.0,0,2,41.0,70
jdereg/json-io,403,1,11,0,2,0,0.0,0,2,31.5,51
jdereg/java-util,343,1,166,81,7,0,0.0,0,7,43.714285714285715,61
jdereg/java-util,163,1,2,1,1,0,0.0,0,1,71.0,71
halilozel1903/AndroidTVMovieParadise,18,1,2,2,1,0,0.0,0,1,76.0,76
halilozel1903/AndroidTVMovieParadise,25,1,21,1,1,0,0.0,0,1,74.0,74
jdereg/java-util,167,1,45,5,2,0,0.0,0,2,52.0,54
jdereg/java-util,345,1,6,0,2,0,0.0,0,2,12.0,12
jdereg/json-io,334,2,38,0,2,0,0.0,0,2,36.5,61
jdereg/json-io,335,2,37,3,2,0,0.0,0,2,45.0,78
jdereg/json-io,337,2,29,0,1,0,0.0,0,1,60.0,60
jdereg/json-io,338,2,7,0,1,0,0.0,0,1,71.0,71
jdereg/json-io,341,2,113,0,1,0,0.0,0,1,79.0,79
jdereg/json-io,342,1,33,0,2,0,0.0,0,2,40.5,69
jdereg/json-io,343,1,61,0,2,0,0.0,0,2,46.0,80
jdereg/json-io,344,2,142,1,2,0,0.0,0,2,45.5,79
jdereg/json-io,345,2,71,1,2,0,0.0,0,2,41.0,70
jdereg/json-io,346,1,113,0,2,0,0.0,0,2,37.0,62
jdereg/json-io,359,1,108,0,2,0,0.0,0,2,36.5,61
jdereg/json-io,360,2,27,1,2,0,0.0,0,2,39.5,67
jdereg/java-util,224,1,2,1,2,0,0.0,0,2,38.0,64
jdereg/java-util,222,2,90,0,1,0,0.0,0,1,73.0,73
jdereg/java-util,223,1,183,0,2,0,0.0,0,2,45.5,79
jdereg/java-util,226,2,15,0,1,0,0.0,0,1,54.0,54
jdereg/java-util,227,2,13,0,1,0,0.0,0,1,75.0,75
jdereg/java-util,228,1,69,0,2,0,0.0,0,2,35.5,59
jdereg/java-util,229,2,137,0,1,0,0.0,0,1,58.0,58
jdereg/java-util,231,2,51,0,1,0,0.0,0,1,59.0,59
jdereg/java-util,232,2,193,0,1,0,0.0,0,1,67.0,67
jdereg/java-util,233,2,31,0,1,0,0.0,0,1,79.0,79
jdereg/java-util,234,1,46,0,1,0,0.0,0,1,59.0,59
jdereg/java-util,235,2,36,0,1,0,0.0,0,1,61.0,61
jdereg/java-util,236,2,63,0,1,0,0.0,0,1,54.0,54
jdereg/java-util,239,2,70,1,1,0,0.0,0,1,57.0,57
jdereg/java-util,240,2,28,0,1,0,0.0,0,1,55.0,55
jdereg/java-util,241,1,31,0,1,0,0.0,0,1,59.0,59
jdereg/java-util,242,2,48,0,1,0,0.0,0,1,52.0,52
jdereg/java-util,243,2,166,0,1,0,0.0,0,1,58.0,58
jdereg/json-io,313,1,25,10,3,0,0.0,0,3,47.333333333333336,65
Camelcade/Perl5-IDEA,3003,1,1,1,1,4,0.0,0,1,73.0,73
jdereg/java-util,337,1,3,1,2,0,0.0,0,2,40.0,68
OpenHFT/Chronicle-Wire,1097,1,9,5,5,0,0.0,0,5,30.8,40
OpenHFT/Chronicle-Wire,1098,2,109,89,9,0,0.0,0,9,30.22222222222222,40
OpenHFT/Chronicle-Wire,1099,1,10,0,2,0,0.0,0,2,17.5,24
jdereg/json-io,339,1,12,4,2,0,0.0,0,2,34.0,56
jdereg/json-io,340,2,2,10,1,0,0.0,0,1,56.0,56
jdereg/json-io,348,1,14,1,2,0,0.0,0,2,38.5,65
jdereg/json-io,349,1,3,2,2,0,0.0,0,2,38.5,65
jdereg/json-io,350,1,3,1,2,0,0.0,0,2,38.5,65
jdereg/json-io,351,1,3,1,2,0,0.0,0,2,34.0,56
jdereg/json-io,352,1,11,1,2,0,0.0,0,2,38.5,65
OpenHFT/Java-Thread-Affinity,138,1,14,1,1,0,0.0,0,1,11.0,11
OpenHFT/Java-Thread-Affinity,142,2,20,1,1,0,0.0,0,1,11.0,11
OpenHFT/Chronicle-Bytes,682,1,34,9,4,0,0.0,0,4,53.5,72
OpenHFT/Chronicle-Bytes,683,3,20,6,3,0,0.0,0,3,52.333333333333336,67
OpenHFT/Chronicle-Bytes,684,1,10,3,1,0,0.0,0,1,57.0,57
OpenHFT/Chronicle-Bytes,685,1,10,7,4,0,0.0,0,4,69.75,73
OpenHFT/Chronicle-Bytes,687,2,84,45,4,0,0.0,0,4,51.25,66
SimonHalvdansson/Harmonic-HN,216,2,236,21,7,0,0.0,0,7,61.857142857142854,88
operaton/operaton,911,2,31,94,5,1,2.0,1,5,102.4,117
jdereg/java-util,252,1,98,0,4,0,0.0,0,4,50.0,64
jdereg/java-util,253,1,53,0,2,0,0.0,0,2,42.0,72
jdereg/java-util,255,1,61,0,2,0,0.0,0,2,39.5,67
jdereg/java-util,256,2,55,3,2,0,0.0,0,2,47.0,82
jdereg/java-util,258,2,80,1,2,0,0.0,0,2,41.0,70
