PR_ID,Contributors,Stars,Forks,Watchers,Duration_Days,Commits,Open_Issues,Closed_Issues,Pull_Requests
1125,55,557,132,565,3961,5652,21,420,790
1126,55,557,132,565,3961,5652,21,420,790
1127,55,557,132,565,3961,5652,21,420,790
1128,55,557,132,565,3961,5652,21,420,790
1129,55,557,132,565,3961,5652,21,420,790
1130,55,557,132,565,3961,5652,21,420,790
1132,55,557,132,565,3961,5652,21,420,790
1133,55,557,132,565,3961,5652,21,420,790
1134,55,557,132,565,3961,5652,21,420,790
1135,55,557,132,565,3961,5652,21,420,790
318,46,337,114,341,4459,2447,2,131,293
317,46,337,114,341,4459,2447,2,131,293
106,11,199,42,202,5348,226,13,33,70
292,22,428,110,429,4456,2342,2,23,333
299,22,428,110,429,4456,2342,2,23,333
300,22,428,110,429,4456,2342,2,23,333
302,22,428,110,429,4456,2342,2,23,333
303,22,428,110,429,4456,2342,2,23,333
142,30,230,62,231,4135,826,1,32,167
312,34,186,61,189,3921,1786,1,111,224
313,34,186,61,189,3921,1786,1,111,224
314,34,186,61,189,3921,1786,1,111,224
315,34,186,61,189,3921,1786,1,111,224
316,34,186,61,189,3921,1786,1,111,224
317,34,186,61,189,3921,1786,1,111,224
318,34,186,61,189,3921,1786,1,111,224
319,34,186,61,189,3921,1786,1,111,224
320,34,186,61,189,3921,1786,1,111,224
321,34,186,61,189,3921,1786,1,111,224
322,34,186,61,189,3921,1786,1,111,224
323,34,186,61,189,3921,1786,1,111,224
324,34,186,61,189,3921,1786,1,111,224
325,34,186,61,189,3921,1786,1,111,224
2210,112,11894,1070,12292,5494,2451,567,858,812
414,46,337,114,341,4459,2447,2,131,293
416,46,337,114,341,4459,2447,2,131,293
153,22,428,110,429,4456,2342,2,23,333
16030,448,5851,1401,5959,4202,14324,1483,1712,14001
335,22,428,110,429,4456,2342,2,23,333
336,22,428,110,429,4456,2342,2,23,333
120,22,428,110,429,4456,2342,2,23,333
123,22,428,110,429,4456,2342,2,23,333
126,22,428,110,429,4456,2342,2,23,333
129,22,428,110,429,4456,2342,2,23,333
8984,247,654,311,675,3131,16135,236,576,9178
159,22,428,110,429,4456,2342,2,23,333
161,22,428,110,429,4456,2342,2,23,333
165,22,428,110,429,4456,2342,2,23,333
170,22,428,110,429,4456,2342,2,23,333
171,22,428,110,429,4456,2342,2,23,333
172,22,428,110,429,4456,2342,2,23,333
173,22,428,110,429,4456,2342,2,23,333
134,22,428,110,429,4456,2342,2,23,333
316,46,337,114,341,4459,2447,2,131,293
174,22,428,110,429,4456,2342,2,23,333
402,46,337,114,341,4459,2447,2,131,293
403,46,337,114,341,4459,2447,2,131,293
343,22,428,110,429,4456,2342,2,23,333
163,22,428,110,429,4456,2342,2,23,333
